image_name,cluster_label
com.android.settings.intelligence_SearchActivity_20250509_145000_Setting_text of topic and recent searches_default_Yan.jpg,2
com.android.settings_SecProcessTextManageAppsFragment_20250508_174139_Phone_Recent&BACK KEY_default_Crystal.png,0
com.android.settings_SecProcessTextManageAppsFragment_20250509_154124_Phone_task bar icon_poor_Default_xuka.png,0
com.samsung.android.app.contacts_PeopleActivity_20250508_175652_Contact_Group icon_Default_Rubby.png,5
com.samsung.android.calendar_FabActivity_20250508_180006_Calendar_Quick add icons_Default_Rubby.png,3
com.samsung.android.calendar_FabActivity_20250509_074826_Calendar_Default_Eva.png,-1
com.samsung.android.calendar_FabActivity_20250509_154842_Calendar_Event & reminder icons_poor_Default_xuka.png,3
com.samsung.android.dialer_DialtactsActivity_20250509_081812_Phone_Selected number poor_Default_Alice.png,1
com.samsung.android.dialer_DialtactsActivity_20250509_162558_Phone_Keyoad_select inputted numbe_default_Zany.png,1
com.samsung.android.lool_DefaultActivity_20250522_100451.png,5
com.samsung.android.lool_DefaultActivity_20250522_100502.png,-1
com.samsung.android.messaging_ContactPickerActivity_20250509_074115_Message_Forward a message_selected menu_default_Zany.png,6
com.samsung.android.messaging_ContactPickerActivity_20250509_074528_Message_Default_Eva.png,6
com.samsung.android.messaging_ContactPickerActivity_20250509_153529_Message_Default_Eva.png,6
com.samsung.android.messaging_ConversationComposer_20250509_150114_Message_the sending link_default_Yan.jpg,-1
com.sec.android.app.myfiles_MainActivity_20250509_150327_My file_More menu button_default_Yan.jpg,7
com.sec.android.gallery3d_GalleryActivity_20250509_144845_Gallery_text of selected option_default_Yan.jpg,4
default_image_002.jpg,-1
default_image_005.jpg,7
default_image_006.jpg,1
default_image_007.jpg,5
default_image_008.jpg,2
default_image_010.jpg,-1
default_image_012.jpg,3
default_image_016.jpg,7
default_image_019.jpg,2
default_image_020.jpg,5
default_image_024.jpg,3
default_image_031.jpg,-1
default_image_034.jpg,7
default_image_035.jpg,-1
default_image_037.jpg,7
default_image_039.jpg,4
default_image_040.jpg,3
default_image_041.jpg,7
default_image_045.jpg,-1
default_image_047.jpg,0
default_image_048.jpg,0
default_image_050.jpg,4
